sample_id,source_id,category_label,label_quality,file_path,duration_s,full_duration_s,sample_rate_hz,rms,zero_crossing_rate,spectral_centroid_hz,spectral_rolloff_hz,spectral_bandwidth_hz,spectral_flatness,dominant_freq_hz,harmonicity,low_band_ratio,mid_band_ratio,high_band_ratio,envelope_mean,envelope_std,dominant_mod_hz,transient_density,inter_event_interval_s,spectral_flux,roughness,narrowband_index,safe_archetype_tag,pca_x,pca_y,cluster_id
hf_wmms_parquet_5debd9f8c55e,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/atlantic_spotted_dolphin/6102500f_5debd9f8c55e.wav,1.166469,1.166469,60600,0.0022112366277724,0.3919249649864897,12500.713027387495,17826.575425091916,5601.789219368877,0.2415957748889923,9439.160156250002,69.29289245605469,6.714992196066305e-05,0.0001992426259675,0.9997333884239196,0.1774438470602035,0.1446544677019119,0.8572883657763695,14.57390221819828,0.0609240924092409,5.275505259305646e-07,0.0002385771468625,0.7584042251110077,,4.990137778300671,0.1995838085393646,5
hf_wmms_parquet_d970eee70ac3,hf_wmms_parquet,marine_mammal_whale,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/melon_headed_whale/9101200c_d970eee70ac3.wav,1.890613,1.890613,81920,0.0412157662212848,0.1284107491057477,3757.653688794053,8056.8,4322.464752417446,0.0342621318995952,120.0,452.0398559570313,0.1017176061868667,0.2516658306121826,0.6466166377067566,0.1293234676122665,0.0702256634831428,3.7025032444682617,14.81001297787305,0.062060546875,0.000109870074084,0.0026657292622312,0.9657378681004049,,0.7206648823061204,0.22350753724799546,5
hf_wmms_parquet_14b0dc977ddc,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/pantropical_spotted_dolphin/9300100d_14b0dc977ddc.wav,1.244884,1.244884,60600,0.0185969173908233,0.1755590609631623,4741.564878870074,7030.053710937502,2942.9143879813328,0.0346176922321319,2100.8789062500005,189.3868865966797,8.172208254109137e-06,0.0001682751608313,0.9998236298561096,0.1074895337224006,0.0608755052089691,0.803287380699894,16.065747613997882,0.0588778877887788,1.961583802767564e-05,0.0010547897597426,0.965382307767868,,1.8639420591185154,-0.10590044677634905,5
hf_wmms_parquet_929c3eaf22ae,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/ross_seal/66002a05_929c3eaf22ae.wav,1.775937,1.775937,16000,0.0166780967265367,0.1528471880059125,635.1036529498623,1390.5882352941176,1231.1943588874487,0.0445231013000011,30.0,3692.50537109375,0.7369996309280396,0.1603512316942215,0.1026491299271583,0.1377380937337875,0.1155173704028129,3.378497272567306,15.203237726552878,0.0650625,4.452243956620805e-05,0.0026695156104172,0.9554768986999987,,-1.4366421223191792,-0.6133887142359133,3
hf_wmms_parquet_dbb347ea7ac3,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/white_beaked_dolphin/7200500g_dbb347ea7ac3.wav,1.400116,1.400116,60600,0.0024804708082228,0.1935742403884685,4575.32121359998,7266.681134259261,4767.221114596446,0.1290100365877151,2278.4179687500005,206.44110107421875,0.0419632047414779,0.0094400653615593,0.9485965371131896,0.2113839089870453,0.1135453432798385,1.4284535693660354,15.712989263026389,0.0568151815181518,4.734476419798739e-07,0.0001908700720119,0.8709899634122849,,1.972794718917298,-0.14553051883988277,5
hf_wmms_parquet_746b9f6a4274,hf_wmms_parquet,marine_mammal_whale,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/short_finned_pacific_pilot_whale/5702100d_746b9f6a4274.wav,0.698167,0.698167,30000,0.0434424690902233,0.2346256684491978,3338.4779355272826,4452.354029605263,1517.8100900091133,0.0506786108016967,3383.7890625,916.6597900390624,4.436065410118317e-06,0.02484623901546,0.9751492738723756,0.2148240953683853,0.1642613559961319,2.86464550011936,15.75555025065648,0.0662333333333333,0.0003633187734521,0.0083632164803817,0.9493213891983032,,0.7941116125137647,1.2819721849836347,5
hf_wmms_parquet_f1610dcc1896,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/clymene_dolphin/8300604p_f1610dcc1896.wav,1.323966,1.323966,41600,0.0453502759337425,0.4839676083956714,8525.986792019065,13419.921875,4950.543688209741,0.0974233672022819,12187.5,262.4561462402344,0.0027954233810305,0.0305387489497661,0.9666659235954284,0.09553062915802,0.0816757827997207,0.7553062076728942,15.106124153457886,0.0567307692307692,0.0003166045353282,0.0069813144198683,0.902576632797718,,4.527524060262893,1.0141889767013772,5
hf_wmms_parquet_c850732e390d,hf_wmms_parquet,marine_mammal_whale,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/humpback_whale/92201007_c850732e390d.wav,12.787114,12.787114,14900,0.0294698346406221,0.194345158428989,1177.6446069213562,2455.6299212598424,1300.3031004660943,0.1217629462480545,380.0,19618.392578125,0.0056781340390443,0.9308026432991028,0.0635192170739173,0.1236012354493141,0.1968375891447067,0.5000000000000001,4.53581625797783,0.06248322147651,0.0001168103190138,0.0039637249558541,0.8782370537519455,,-1.9586285223886093,0.02230047350080101,4
hf_wmms_parquet_1ecc6a936495,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/grampus_rissos_dolphin/5902900s_1ecc6a936495.wav,0.509363,0.509363,81920,0.0673362836241722,0.1183434788860662,3946.023304788489,6563.076923076923,3089.3487866825108,0.0067815543152391,920.0,2242.18505859375,3.048357575607952e-05,0.120138294994831,0.8798312544822693,0.0872457027435302,0.1051703989505767,1.9632372324873584,15.705897859898869,0.0715087890625,0.0002306335081811,0.0034251000465814,0.9932184456847608,,0.7839856879251462,0.7917352686809033,5
hf_wmms_parquet_9574e023956b,hf_wmms_parquet,marine_mammal_orca,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/killer_whale/64020003_9574e023956b.wav,1.415625,1.415625,20480,0.0453442819416523,0.1938877582698078,1911.20311086128,3188.1481481481483,1411.6417160276771,0.0653987452387809,610.0,878.43017578125,0.0009699877118691,0.2099252939224243,0.7891048192977905,0.3659085035324096,0.2850664854049682,0.706401766004415,12.008830022075056,0.058251953125,0.0003484664484858,0.0076849038854901,0.934601254761219,,-0.9743263702445071,2.2679570113145395,4
hf_wmms_parquet_020e291d52bf,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/common_dolphin/7500304q_020e291d52bf.wav,0.220699,0.220699,81600,0.0121418731287121,0.2283984895601954,7324.090734539202,14338.76953125,8113.81010513722,0.0181923583149909,9761.71875,5575.1552734375,0.1872360110282898,0.0315588861703872,0.7812050580978394,0.2915339469909668,0.1854889839887619,4.531067799433616,18.124271197734465,0.0683088235294117,3.0455918022198603e-05,0.0025083376919554,0.981807641685009,,2.515630280121582,2.047547979976945,5
hf_wmms_parquet_0532ae759abe,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/grampus_rissos_dolphin/8500900t_0532ae759abe.wav,0.384375,0.384375,81920,0.0682754889130592,0.2907549147267126,11902.404232602184,21321.379310344822,9183.552420713728,0.1924133896827697,24200.0,29.33311080932617,0.025833124294877,0.0990971997380256,0.8750697374343872,0.0936770364642143,0.0905654951930046,2.6016260162601625,15.609756097560975,0.05302734375,0.0002273330755997,0.0033296440525808,0.8075866103172302,,6.091820730191083,1.80841656145894,1
hf_wmms_parquet_2957192fe60e,hf_wmms_parquet,marine_mammal_whale,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/sperm_whale/7702800u_2957192fe60e.wav,0.939844,0.939844,81920,0.1287904232740402,0.1366913015807042,4801.565607068451,7592.432432432432,3790.051082958032,0.0160319805145263,4560.0,2652.666015625,0.1022296547889709,0.0263006705790758,0.8714696764945984,0.1833442002534866,0.1430542171001434,1.0640066500415626,10.640066500415628,0.0778076171875,0.0025082433130592,0.0194753868282791,0.9839680194854736,,0.35086130128213655,4.0939592702963195,2
