sample_id,source_id,category_label,label_quality,file_path,duration_s,full_duration_s,sample_rate_hz,rms,zero_crossing_rate,spectral_centroid_hz,spectral_rolloff_hz,spectral_bandwidth_hz,spectral_flatness,dominant_freq_hz,harmonicity,low_band_ratio,mid_band_ratio,high_band_ratio,envelope_mean,envelope_std,dominant_mod_hz,transient_density,inter_event_interval_s,spectral_flux,roughness,narrowband_index,safe_archetype_tag
hf_wmms_parquet_5debd9f8c55e,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/atlantic_spotted_dolphin/6102500f_5debd9f8c55e.wav,1.166469,1.166469,60600,0.0022112366277724504,0.3919249649864897,12500.713027387497,17826.575425091916,5601.789219368877,0.2415957748889923,9439.160156250002,69.29289245605469,6.714992196066305e-05,0.00019924262596759945,0.9997333884239197,0.17744384706020355,0.14465446770191193,0.8572883657763695,14.57390221819828,0.060924092409240925,5.275505259305646e-07,0.00023857714686258155,0.7584042251110077,
hf_wmms_parquet_d970eee70ac3,hf_wmms_parquet,marine_mammal_whale,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/melon_headed_whale/9101200c_d970eee70ac3.wav,1.890613,1.890613,81920,0.041215766221284866,0.12841074910574776,3757.6536887940533,8056.8,4322.464752417446,0.03426213189959526,120.0,452.03985595703125,0.10171760618686676,0.2516658306121826,0.6466166377067566,0.12932346761226654,0.07022566348314285,3.7025032444682617,14.81001297787305,0.062060546875,0.0001098700740840286,0.002665729262231286,0.9657378681004047,
hf_wmms_parquet_14b0dc977ddc,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/pantropical_spotted_dolphin/9300100d_14b0dc977ddc.wav,1.244884,1.244884,60600,0.018596917390823364,0.1755590609631623,4741.564878870074,7030.053710937502,2942.9143879813328,0.03461769223213196,2100.8789062500005,189.3868865966797,8.172208254109137e-06,0.00016827516083139926,0.9998236298561096,0.10748953372240067,0.060875505208969116,0.803287380699894,16.065747613997882,0.05887788778877888,1.9615838027675636e-05,0.0010547897597426694,0.965382307767868,
hf_wmms_parquet_929c3eaf22ae,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/ross_seal/66002a05_929c3eaf22ae.wav,1.775937,1.775937,16000,0.01667809672653675,0.15284718800591257,635.1036529498623,1390.5882352941176,1231.1943588874487,0.044523101300001144,30.0,3692.50537109375,0.7369996309280396,0.1603512316942215,0.10264912992715836,0.13773809373378754,0.11551737040281296,3.378497272567306,15.203237726552878,0.0650625,4.452243956620805e-05,0.0026695156104172405,0.9554768986999989,
hf_wmms_parquet_dbb347ea7ac3,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/white_beaked_dolphin/7200500g_dbb347ea7ac3.wav,1.400116,1.400116,60600,0.00248047080822289,0.19357424038846852,4575.32121359998,7266.681134259261,4767.221114596446,0.12901003658771515,2278.4179687500005,206.44110107421875,0.041963204741477966,0.009440065361559391,0.9485965371131897,0.2113839089870453,0.11354534327983856,1.4284535693660354,15.712989263026387,0.05681518151815181,4.734476419798739e-07,0.00019087007201193428,0.8709899634122849,
hf_wmms_parquet_746b9f6a4274,hf_wmms_parquet,marine_mammal_whale,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/short_finned_pacific_pilot_whale/5702100d_746b9f6a4274.wav,0.698167,0.698167,30000,0.04344246909022331,0.23462566844919786,3338.4779355272826,4452.354029605263,1517.8100900091133,0.05067861080169678,3383.7890625,916.6597900390625,4.436065410118317e-06,0.024846239015460014,0.9751492738723755,0.21482409536838531,0.1642613559961319,2.86464550011936,15.75555025065648,0.06623333333333334,0.00036331877345219254,0.008363216480381725,0.9493213891983032,
hf_wmms_parquet_f1610dcc1896,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/clymene_dolphin/8300604p_f1610dcc1896.wav,1.323966,1.323966,41600,0.04535027593374252,0.48396760839567143,8525.986792019065,13419.921875,4950.543688209741,0.09742336720228195,12187.5,262.4561462402344,0.0027954233810305595,0.03053874894976616,0.9666659235954285,0.09553062915802002,0.08167578279972076,0.7553062076728942,15.106124153457886,0.05673076923076923,0.0003166045353282243,0.0069813144198683,0.902576632797718,
hf_wmms_parquet_c850732e390d,hf_wmms_parquet,marine_mammal_whale,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/humpback_whale/92201007_c850732e390d.wav,12.787114,12.787114,14900,0.02946983464062214,0.19434515842898906,1177.6446069213562,2455.6299212598424,1300.3031004660943,0.1217629462480545,380.0,19618.392578125,0.00567813403904438,0.9308026432991028,0.06351921707391739,0.12360123544931412,0.19683758914470673,0.5000000000000001,4.53581625797783,0.062483221476510066,0.0001168103190138936,0.003963724955854177,0.8782370537519455,
hf_wmms_parquet_1ecc6a936495,hf_wmms_parquet,marine_mammal_other,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/grampus_rissos_dolphin/5902900s_1ecc6a936495.wav,0.509363,0.509363,81920,0.06733628362417221,0.11834347888606624,3946.023304788489,6563.076923076923,3089.3487866825108,0.006781554315239191,920.0,2242.18505859375,3.0483575756079517e-05,0.12013829499483109,0.8798312544822693,0.08724570274353027,0.10517039895057678,1.9632372324873584,15.705897859898867,0.0715087890625,0.00023063350818119943,0.003425100046581455,0.9932184456847608,
hf_wmms_parquet_9574e023956b,hf_wmms_parquet,marine_mammal_orca,exact,/mnt/data/subsim/dataset/hydrophone/raw/hf_wmms_parquet/killer_whale/64020003_9574e023956b.wav,1.415625,1.415625,20480,0.0453442819416523,0.19388775826980786,1911.2031108612796,3188.1481481481483,1411.6417160276771,0.06539874523878098,610.0,878.43017578125,0.0009699877118691802,0.20992529392242432,0.7891048192977905,0.36590850353240967,0.28506648540496826,0.706401766004415,12.008830022075056,0.058251953125000006,0.0003484664484858513,0.00768490388549019,0.934601254761219,
